Name,Alpha,Beta,Purpose,Guide,Used for,
German Hallertau Mittelfrüh,4.3,4,1,12,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier",
German Herkules,14.5,4.75,2,5,"American Lager,Bock,European Dark Lager,European Pale Lager,German Amber Lager",
German Hersbruker,3.5,4.25,1,13,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
German Hull Melon,7.2,7.6,1,3,"Belgian Ale,French Ale,India Pale Ale",
German Magnum,13.5,6,2,27,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Scottish Ale,Stout,Wheat Beer",
German Mandarina Bavaria,8.5,5.75,1,2,"Belgian Ale,French Ale",
German Merkur,13.5,5.25,2,5,"American Lager,Bock,European Dark Lager,European Pale Lager,German Amber Lager",
German Northern Brewer,8.5,4.25,3,15,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Kölsch,Altbier,Porter,Stout,Wheat Beer",
German Opal,6.5,4.5,1,10,"American Amber,American Pale Ale,Brown Ale,English Bitter,English Pale Ale,Fruit Beer,Kölsch,Altbier,Scottish Ale,Wheat Beer",
German Perle,8.0,3.75,1,23,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Stout,Wheat Beer",
German Polaris,20.5,5.25,1,3,"Belgian Ale,French Ale,Wheat Beer",
German Saphir,3.3,5.5,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
German Spalt,4.0,4,1,13,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
German Spalt Select,4.8,3.75,1,14,"Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,German Amber Lager,Kölsch,Altbier,Wheat Beer",
German Tettnanger,4.5,4,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
German Tradition,6.0,4.5,1,15,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Belgian Strong Ale,Bock,European Pale Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Golding,5.0,2.5,1,13,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
Hallertauer,4.5,4.5,1,11,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Beer,Belgian Strong Ale,Bock,European Pale Lager,German Amber Lager,Kölsch,Altbier",
Horizon,12.0,7.5,3,26,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Stout,Wheat Beer",
Liberty,4.0,3.5,1,13,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Millennium,15.5,4.8,2,2,"American Lager,European Pale Lager",
Mosaic™,12.5,3.55,1,1,India Pale Ale,
Mt. Hood,6.0,6.25,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Scottish Ale,Wheat Beer",
Mt. Rainier,6.6,6,3,11,"American Lager,Belgian Ale,French Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Scottish Ale",
New Zealand Green Bullet,12.5,7.75,2,5,"American Lager,Bock,European Pale Lager,German Amber Lager,Wheat Beer",
New Zealand Nelson Sauvin,12.5,7,3,7,"American Amber,American Pale Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout",
New Zealand Pacific Gem,14.3,8,2,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout",
New Zealand Pacific Jade,13.0,7.5,3,13,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Brown Ale,European Pale Lager,India Pale Ale,Kölsch,Altbier,Porter,Stout,Wheat Beer",
New Zealand Rakau,10.5,5.5,3,1,Ales,
New Zealand Southern Cross,12.5,5.5,3,13,"American Lager,Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,European Dark Lager,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Stout",
New Zealand Waimea,17.5,8,1,3,"American Amber,American Pale Ale,India Pale Ale",
Northern Brewer,9.0,4,3,12,"American Amber,American Pale Ale,Barleywine,Imperial Stout,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Nugget,13.3,5,2,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Olympic,12.2,4.95,2,10,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Palisade®,7.5,7,1,8,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout",
Perle,8.3,4.5,3,21,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Stout,Wheat Beer",
Polish Lublin,3.8,3,1,1,European Pale Lager,
Saaz,3.8,3.75,1,12,"American Lager,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Santiam,6.0,7.25,1,19,"American Amber,American Pale Ale,American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Porter,Stout,Wheat Beer",
Simcoe®,13.0,4.5,3,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Sorachi Ace,13.0,6.5,3,10,"American Amber,American Pale Ale,American Lager,Brown Ale,English Strong Ale,Scottish Strong Ale,Fruit Beer,German Amber Lager,India Pale Ale,Wheat Beer",
Sterling,7.5,5,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Styrian Aurora,8.3,3.55,1,12,"American Amber,American Pale Ale,American Lager,Brown Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Styrian Bobek,5.3,5.05,1,15,"Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Strong Ale,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Pale Lager,India Pale Ale,Porter,Scottish Ale,Stout",
Styrian Celeia,4.5,2.65,1,17,"American Lager,Belgian Ale,French Ale,Belgian Strong Ale,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,European Pale Lager,German Amber Lager,India Pale Ale,Scottish Ale",
Summi,17.5,4.65,2,8,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout",
Tettnanger,4.5,3.75,1,10,"American Lager,Belgian Ale,French Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Wheat Beer",
UK Admiral,14.5,5,2,10,"Barleywine,Imperial Stout,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Boadicea,8.5,3.5,3,29,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,Cider,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Mead,Porter,Scottish Ale,Stout,Wheat",Beer
UK Bramling Cross,7.0,2.9,3,10,"Barleywine,Imperial Stout,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Challenger,7.8,3.7,3,10,"Barleywine,Imperial Stout,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK East Kent Golding,5.0,2.45,3,3,"Barleywine,Imperial Stout,Brown Ale",
UK First Gold,8.3,3.75,3,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Fuggle,5.0,3,1,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Northdown,8.5,4.5,3,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Phoenix,10.0,4.6,3,12,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout,Stout",
UK Pilgrim,11.0,4.5,3,15,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Belgian Strong Ale,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,Fruit Beer,India Pale Ale,Porter,Scottish Ale,Stout",
UK Pioneer,9.3,3.75,3,13,"Barleywine,Imperial Stout,Belgian Ale,French Ale,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Progress,6.8,2.65,1,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
UK Sovereign,5.5,2.6,1,28,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,Cider,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Mead,Porter,Scottish Ale,Stout,Wheat Beer",
UK Target,11.0,4.85,2,27,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,India Pale Ale,Kölsch,Altbier,Porter,Scottish Ale,Stout,Wheat Beer",
UK WGV,6.3,3,1,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
Ultra,2.8,3.75,1,13,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Vanguard,5.5,6,1,13,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Warrior®,16.0,5,3,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Willamette,5.0,3.75,1,13,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout,Wheat Beer",
